Date,Price
2024-01-31,1.0818
2024-02-29,1.0836
2024-03-31,1.0791
2024-04-30,1.0714
2024-05-31,1.0848
2024-06-30,1.0712
2024-07-31,1.0823
2024-08-31,1.1047
2024-09-30,1.1164
2024-10-31,1.0885
2024-11-30,1.0576
2024-12-31,1.0354
2025-01-31,1.0395
2025-02-28,1.0398
2025-03-31,1.0812
2025-04-30,1.1327
2025-05-31,1.1349
2025-06-30,1.1784
2025-07-31,1.1416
2025-08-31,1.1681
2025-09-30,1.1732
2025-10-31,1.1537
2025-11-30,1.1596
2025-12-31,1.1722
2026-01-31,1.1624
2026-02-28,1.1587
2026-03-31,1.0821
2026-04-30,1.1156
